Raw Data
Scope 1/1, Sample 1/2 (Batch168_01)
Method Function,Sample (S1)
Creation time,3/20/2018 7:57:18 AM,
Sample start time,3/20/2018 7:57:18 AM,
Sample size,50.0443 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 7:57:19 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 7:57:28 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.122400 mmol,
VEQ1,1.2240 mL,
EST,-25.7 mV,
VEX,0 mL,
VEND,1.2240 mL,
t,02:50 min,
QEND,0.122400 mmol,
QEX,0.0000 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 8:00:29 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 8:07:30 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093400 mmol,
VEQ1,0.9340 mL,
EST,190.1 mV,
VEX,0.000000 mL,
VEND,0.934000 mL,
t,02:36 min,
QEND,0.093400 mmol,
QEX,0.000000 mmol,
Scope 1/1, Sample 2/2 (Batch168_02)
Method Function,Sample (S1)
Creation time,3/20/2018 8:10:27 AM,
Sample start time,3/20/2018 8:10:27 AM,
Sample size,50.0280 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,3/20/2018 8:10:27 AM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,3/20/2018 8:10:27 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.122675 mmol,
VEQ1,1.22675 mL,
EST,-43.8 mV,
VEX,0.000249 mL,
VEND,1.226999 mL,
t,02:50 min,
QEND,0.122700 mmol,
QEX,0.000025 mmol,
Method Function,Stir (Stir1)
Creation time,3/20/2018 8:13:27 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,3/20/2018 8:20:27 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.093150 mmol,
VEQ1,0.9315 mL,
EST,189.5 mV,
VEX,0 mL,
VEND,0.9315 mL,
t,02:39 min,
QEND,0.093150 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T326
Scope 1/1, Sample 1/2 (Batch168_01)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-25.7,21.0,NaN,,
0.0005,1,-53.8,21.2,0.0005,,
0.0020,2,-54.8,21.2,0.0015,,
0.0050,3,-56.2,21.2,0.0025,,
0.0085,4,-56.4,21.2,0.0030,,
0.0145,5,-55.7,21.2,0.0050,,
0.0230,6,-56.1,21.2,0.0075,,
0.0305,7,-54.0,21.2,0.0070,,
0.0390,8,-53.2,21.2,0.0075,,
0.0475,9,-51.9,21.2,0.0070,,
0.0560,10,-49.5,21.2,0.0070,,
0.0645,11,-48.4,21.2,0.0070,,
0.0725,12,-47.1,21.2,0.0075,,
0.0805,13,-46.8,21.2,0.0075,,
0.0885,14,-43.9,21.2,0.0075,,
0.0970,15,-41.7,21.2,0.0070,,
0.1055,16,-39.7,21.2,0.0070,,
0.1140,17,-37.2,21.2,0.0070,,
0.1215,18,-35.0,21.2,0.0070,,
0.1300,19,-32.2,21.2,0.0075,,
0.1385,20,-29.0,21.2,0.0070,,
0.1470,21,-25.4,21.2,0.0070,,
0.1555,22,-22.3,21.2,0.0070,,
0.1640,23,-19.5,21.2,0.0075,,
0.1715,24,-15.9,21.2,0.0070,,
0.1800,25,-12.4,21.2,0.0075,,
0.1880,26,-9.1,21.2,0.0065,,
0.1965,27,-6.5,21.2,0.0070,,
0.2050,28,-4.5,21.2,0.0070,,
0.2125,29,-2.0,21.2,0.0070,,
0.2210,30,0.9,21.2,0.0075,,
0.2295,31,2.0,21.2,0.0075,,
0.2380,32,3.5,21.2,0.0070,,
0.2465,33,4.7,21.2,0.0070,,
0.2550,34,6.1,21.2,0.0070,,
0.2625,35,7.3,21.2,0.0070,,
0.2710,36,9.4,21.2,0.0075,,
0.2790,37,10.9,21.2,0.0065,,
0.2875,38,12.0,21.2,0.0070,,
0.2960,39,13.5,21.2,0.0070,,
0.3045,40,14.6,21.2,0.0075,,
0.3120,41,15.9,21.2,0.0070,,
0.3205,42,17.0,21.2,0.0075,,
0.3290,43,18.0,21.2,0.0070,,
0.3375,44,18.9,21.2,0.0070,,
0.3460,45,20.0,21.2,0.0070,,
0.3535,46,21.1,21.2,0.0070,,
0.3620,47,22.0,21.2,0.0075,,
0.3700,48,23.0,21.2,0.0075,,
0.3785,49,23.8,21.2,0.0070,,
0.3870,50,24.6,21.2,0.0070,,
0.3955,51,25.4,21.2,0.0070,,
0.4030,52,26.3,21.2,0.0070,,
0.4115,53,27.3,21.2,0.0075,,
0.4200,54,28.1,21.2,0.0075,,
0.4285,55,28.8,21.2,0.0070,,
0.4365,56,29.6,21.2,0.0065,,
0.4450,57,30.6,21.2,0.0070,,
0.4535,58,31.2,21.2,0.0075,,
0.4610,59,32.0,21.2,0.0070,,
0.4695,60,33.1,21.2,0.0075,,
0.4780,61,34.3,21.2,0.0070,,
0.4865,62,35.1,21.2,0.0070,,
0.4950,63,35.8,21.2,0.0070,,
0.5025,64,36.5,21.2,0.0070,,
0.5110,65,37.4,21.2,0.0075,,
0.5195,66,38.2,21.2,0.0075,,
0.5275,67,39.0,21.2,0.0065,,
0.5360,68,39.9,21.2,0.0070,,
0.5445,69,40.6,21.2,0.0070,,
0.5520,70,41.3,21.2,0.0070,,
0.5605,71,42.3,21.2,0.0075,,
0.5690,72,43.0,21.2,0.0075,,
0.5775,73,43.6,21.2,0.0070,,
0.5860,74,44.4,21.2,0.0070,,
0.5940,75,45.1,21.2,0.0065,,
0.6025,76,45.5,21.2,0.0075,,
0.6100,77,46.7,21.2,0.0070,,
0.6185,78,47.2,21.2,0.0075,,
0.6270,79,48.2,21.2,0.0070,,
0.6355,80,49.0,21.2,0.0070,,
0.6440,81,49.6,21.2,0.0070,,
0.6515,82,50.5,21.2,0.0070,,
0.6600,83,51.3,21.2,0.0075,,
0.6685,84,52.0,21.2,0.0075,,
0.6765,85,52.8,21.2,0.0065,,
0.6850,86,53.3,21.2,0.0070,,
0.6935,87,54.2,21.2,0.0070,,
0.7010,88,55.3,21.2,0.0070,,
0.7095,89,56.3,21.2,0.0075,,
0.7180,90,57.0,21.2,0.0075,,
0.7265,91,57.9,21.2,0.0070,,
0.7350,92,58.9,21.2,0.0070,,
0.7430,93,59.8,21.2,0.0065,,
0.7510,94,60.7,21.2,0.0075,,
0.7595,95,61.3,21.2,0.0075,,
0.7675,96,62.3,21.2,0.0065,,
0.7760,97,63.3,21.2,0.0070,,
0.7845,98,64.3,21.2,0.0070,,
0.7930,99,65.5,21.2,0.0070,,
